Título,Ubicación,Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Piloto automático,Aire acondicionado,Dirección,Control de tracción,Capacidad de personas,Capacidad del tanque,Potencia,Largo,Altura,Ancho,Distancia entre ejes,Precio
Citroën Berlingo Multispace Diésel,Bs.As. G.B.A. Oeste,,Berlingo Multispace,2008,Diesel,,Diésel,5,,,,235000,,,,,,,,,,,,8800000
Renault Captur 1.6 Intens Cvt,Bs.As. G.B.A. Oeste,Renault,Captur,2018,1.6 Intens Cvt,,Nafta,5,Automática,1.6,SUV,39500,,,,Delantera,5,45 L,115,4122,1556,1778,2670 mm,20000
Peugeot 208 1.6 Feline Tiptronic,Capital Federal,Peugeot,208,2022,1.6 Feline Tiptronic,,Nafta,5,Automática,1.6,Hatchback,26000,,Sí,Asistida,Delantera,5,55 L,115,3975,1470,1740,2540 mm,19000
Renault Sandero Stepway 1.6 16v Zen,Bs.As. G.B.A. Norte,Renault,Sandero Stepway,2023,1.6 16v Zen,,Nafta,5,Manual,1.6,Hatchback,13000,Sí,,Hidráulica,Delantera,5,50 L,115,4066,1559,1761,2590 mm,19200000
Toyota Corolla 1.8 Xei Cvt Pack 140cv,Buenos Aires Interior,Toyota,Corolla,2016,1.8 Xei Cvt Pack 140cv,,Nafta,4,Automática,1.8,Sedán,160000,Sí,,Eléctrica,Delantera,5,57 L,140,4620,1460,1775,2700 mm,16000000
Fiat Cronos 1.3 Gse Like,Tucumán,Fiat,Cronos,2023,1.3 Gse Like,,Nafta,4,Manual,1.3,Sedán,6400,,,,Delantera,5,48 L,99,4364,1515,1962,2521 mm,19500000
Toyota Etios 1.5 Xls At,Capital Federal,Toyota,Etios,2022,1.5 Xls At,Plateado,Nafta,5,Automática,1.5,Hatchback,60000,,,Eléctrica,Delantera,5,45 L,103,4265,1510,1695,2460 mm,18500
Ford Fiesta Kinetic Design 1.6 Se,Bs.As. G.B.A. Norte,Ford,Fiesta Kinetic Design,2017,1.6 Se,Blanco,Nafta,5,Manual,1.6,Hatchback,145000,,,Eléctrica,Delantera,5,45 L,120,4066,1476,1801,2895 mm,12000000
Citroën C3 1.6 Vti 115 Live,Córdoba,,C3,2019,1.6 Vti 115 Live,,Nafta,5,Manual,1.6,Hatchback,100000,,Sí,Eléctrica,Delantera,5,55 L,115,3944,1521,1728,2460 mm,14000000
Suzuki Fun 1.4 N Aa Da,Bs.As. G.B.A. Sur,Suzuki,Fun,2010,1.4 N Aa Da,Plateado,Nafta,3,Manual,1.4,Hatchback,90000,No,Sí,Hidráulica,Delantera,5,48 L,90,3788,1408,1771,2443 mm,6500
Suzuki Fun 1.0,Mendoza,Suzuki,Fun,2005,1.0,,Nafta,3,,,,250000,,,,,,,,,,,,5500000
Chevrolet Onix 1.2 MT,Bs.As. G.B.A. Norte,Chevrolet,Onix,2020,1.2 MT,Plateado,Nafta,4,Manual,1,Hatchback,58032,No,No,Asistida,4x2,5,54 L,90,3930,1484,1656,2465 mm,15180000
